Entity,Code,Year,"Per capita CO2 emissions",Total_CO2_emission,Total_population
France,FRA,1890,2.444497957041646,97817807.99999999,40015500
France,FRA,1891,2.445979681600996,97982688,40058668
France,FRA,1892,2.446646105799565,98121920,40104664
France,FRA,1893,2.3987075446186457,96330224,40159220
France,FRA,1894,2.533703996886538,101899504.00000001,40217604
France,FRA,1895,2.551958037672613,102775200,40273076
France,FRA,1896,2.635204054561069,106281648,40331468
France,FRA,1897,2.7540312795270974,111261024.00000001,40399332
France,FRA,1898,2.842539632653324,115045936.00000001,40472940
France,FRA,1899,2.9666163008188544,120300112,40551288
France,FRA,1900,3.1819161243808436,129276912.00000001,40628636
France,FRA,1901,3.070847343241825,125004688.00000001,40706904
France,FRA,1902,2.884608059974492,117662032.00000003,40789608
France,FRA,1903,3.16681327605284,129342863.99999999,40843224
France,FRA,1904,3.080604705707236,125997632.00000001,40900292
France,FRA,1905,3.1111077255780666,127426592,40958592
France,FRA,1906,3.328902021254347,136568272,41025020
France,FRA,1907,3.5453673700987367,145596368.00000003,41066652
France,FRA,1908,3.5666433386028116,146713888,41135004
France,FRA,1909,3.642254765470508,150095760.00000003,41209572
France,FRA,1910,3.647268667394705,150612384.00000003,41294568
France,FRA,1911,3.7915066767111654,156907136,41383848
France,FRA,1912,3.824369749682577,158577920,41465112
France,FRA,1913,4.120907629900765,171112464,41523004
France,FRA,1914,2.8704256396624688,118350864.00000001,41231120
France,FRA,1915,2.5361289519319334,103233200,40705028
France,FRA,1916,2.743914512293451,109689168.00000001,39975432
France,FRA,1917,3.0919816286126287,121604496.00000001,39328984
France,FRA,1918,2.7855770094186543,108450736.00000001,38932952
France,FRA,1919,2.990505792299929,116141472,38836732
France,FRA,1920,3.8847654114406533,151777536,39069936
France,FRA,1921,3.5082061560772284,137909296,39310488
France,FRA,1922,4.119496319862642,163150592,39604500
France,FRA,1923,4.6091120391708245,184189280.00000003,39961988
France,FRA,1924,5.119850242202791,206634944,40359568
France,FRA,1925,5.25499216865569,213827376.00000003,40690332
France,FRA,1926,5.225619752916421,213732112,40900816
France,FRA,1927,5.190034842288823,213039616,41047820
France,FRA,1928,5.1407843588394275,211636304,41168096
France,FRA,1929,5.660653966868529,234305472.00000003,41391944
France,FRA,1930,5.704265949232894,237654368,41662568
France,FRA,1931,5.194590048550553,217513360,41873056
France,FRA,1932,4.570199294658201,191795744.00000003,41966604
France,FRA,1933,4.7481350903233475,199405872,41996672
France,FRA,1934,4.79184873189699,201369775.99999997,42023400
France,FRA,1935,4.648816466682909,195390128,42030080
France,FRA,1936,4.713988492125816,198097824.00000003,42023400
France,FRA,1937,5.180152119624802,217722208,42030080
France,FRA,1938,4.801668271200668,201798463.99999997,42026740
France,FRA,1939,4.665282194678957,194617024.00000003,41716024
France,FRA,1940,3.3653885510452324,137737088,40927544
France,FRA,1941,2.991166780005172,119922720,40092288
France,FRA,1942,3.1073858304482105,122505840.00000001,39424084
France,FRA,1943,3.1961425470216906,125257504.00000003,39190212
France,FRA,1944,2.035926500186814,79992448.00000001,39290440
France,FRA,1945,2.698090038647147,107172000.00000001,39721432
France,FRA,1946,4.098947577714292,165253727.99999997,40316136
France,FRA,1947,4.502382854237186,183639680.00000003,40787220
France,FRA,1948,4.771718811627706,196522304,41184804
France,FRA,1949,5.510681164688909,229076944,41569624
France,FRA,1950,4.835965004541761,202307760,41834000
France,FRA,1951,5.442693250220075,228761839.99999997,42031000
France,FRA,1952,5.364907836279422,227021440.00000003,42316000
France,FRA,1953,5.030730840464189,214585823.99999997,42655000
France,FRA,1954,5.261853155142359,226391232,43025000
France,FRA,1955,5.506086107207851,239024704.00000003,43411000
France,FRA,1956,6.129917414229952,268545552,43809000
France,FRA,1957,6.27638452319034,277548000.00000006,44221000
France,FRA,1958,5.960901945856378,266207919.99999997,44659000
France,FRA,1959,5.810835325355699,262289484.91590554,45138000
France,FRA,1960,5.94138409419511,271360835.73417324,45673000
France,FRA,1961,6.081512471416282,281373337.5150171,46267000
France,FRA,1962,6.371469935850617,298866540.2809449,46907000
France,FRA,1963,7.027321052480139,334226416.5770079,47561000
France,FRA,1964,7.171220346763109,345538081.18843365,48184000
France,FRA,1965,7.223246645238334,352111604.21543306,48747000
France,FRA,1966,7.060402053407938,347604774.29543304,49233000
France,FRA,1967,7.5018690873763445,372475302.05732286,49651000
France,FRA,1968,7.698171693718494,385101038.97826767,50025000
France,FRA,1969,8.211631337804448,413759468.2179527,50387000
France,FRA,1970,8.660173701314958,439625057.77355254,50764000
France,FRA,1971,9.052077070247433,463131419.1450694,51163000
France,FRA,1972,9.337985969081704,481587950.3834507,51573000
France,FRA,1973,9.956566065439024,517542304.08152044,51980000
France,FRA,1974,9.549217163064055,499968363.0065447,52357000
France,FRA,1975,8.497943753408627,447748158.4233472,52689000
France,FRA,1976,9.564361932092703,506614687.1810184,52969000
France,FRA,1977,9.056887098290979,481907905.6129647,53209000
France,FRA,1978,9.485440239155574,506740673.89640826,53423000
France,FRA,1979,9.886472722182962,530280737.3997275,53637000
France,FRA,1980,9.39489924312342,506084432.4285724,53868000
France,FRA,1981,8.41615820200633,455490898.0507845,54121000
France,FRA,1982,8.050745499820797,437888098.480753,54391000
France,FRA,1983,7.751763031582055,423827643.75174886,54675000
France,FRA,1984,7.407926799824068,407176696.5523299,54965000
France,FRA,1985,7.281174368332027,402321289.72218615,55255000
France,FRA,1986,6.9722612793223,387274252.75995713,55545000
France,FRA,1987,6.797094876407068,379536183.7088179,55838000
France,FRA,1988,6.672138992397701,374480473.08731335,56126000
France,FRA,1989,6.963015659837658,392741935.2774832,56404000
France,FRA,1990,7.074021739777123,400863589.92795026,56667000
France,FRA,1991,7.48969199412685,426268330.1537355,56914000
France,FRA,1992,7.272971346750732,415628493.5527641,57147000
France,FRA,1993,6.898156033034138,395747211.6151685,57370000
France,FRA,1994,6.781582988673253,390531019.5687266,57587000
France,FRA,1995,6.878057783416999,397565495.99706936,57802000
France,FRA,1996,7.120567681116241,413078372.3169154,58012000
France,FRA,1997,6.972946714761923,405971930.6801539,58221000
France,FRA,1998,7.279396554895739,425437052.2543266,58444000
France,FRA,1999,7.18249862913421,421641399.5246947,58704000
France,FRA,2000,7.050238049486921,416069798.4904706,59015000
France,FRA,2001,7.084731670520609,420719705.5221959,59384000
France,FRA,2002,6.955039155724531,415932206.6297941,59803000
France,FRA,2003,7.014430011076354,422633437.0273725,60252000
France,FRA,2004,6.980627921637869,423710153.5875754,60698000
France,FRA,2005,6.986848509053488,427036180.8733492,61120000
France,FRA,2006,6.764419952109111,416072706.8342793,61509000
France,FRA,2007,6.555322269964974,405571233.520463,61869000
France,FRA,2008,6.418309215911029,399276598.01260924,62209000
France,FRA,2009,6.1104458009333165,382165611.7277724,62543000
France,FRA,2010,6.199649436567167,389833956.5713435,62880000
France,FRA,2011,5.777014083779398,365234384.4047011,63222000
France,FRA,2012,5.755534946738598,365844823.35449225,63564000
France,FRA,2013,5.741570878180578,366851929.69046986,63894000
France,FRA,2014,5.225025344119585,335415276.94041264,64194000
France,FRA,2015,5.2923198459741485,341105891.0325718,64453000
France,FRA,2016,5.303326598877206,342955524.49619114,64668000
France,FRA,2017,5.34419281753299,346533494.8672917,64843000
France,FRA,2018,5.199387784323419,337913411.49096334,64991000
Germany,DEU,1800,0.03473984266996171,795088.0000000001,22886920
Germany,DEU,1801,0.02327480405349432,534944,22983824
Germany,DEU,1802,0.02397039314349291,553264,23081140
Germany,DEU,1803,0.02307895277715892,534944,23178868
Germany,DEU,1804,0.043287350332998124,1007600,23277008
Germany,DEU,1805,0.04451554242579624,1040576,23375566
Germany,DEU,1806,0.039957502894625414,937984.0000000001,23474540
Germany,DEU,1807,0.11408261344924442,2689376.0000000005,23573934
Germany,DEU,1808,0.037918795114318185,897679.9999999999,23673748
Germany,DEU,1809,0.03914598411440001,930656,23773984
Germany,DEU,1810,0.04096261440404381,978288,23882460
Germany,DEU,1811,0.038631968108639204,926992.0000000001,23995464
Germany,DEU,1812,0.03782331376366051,912336,24120996
Germany,DEU,1813,0.03670266035256735,890352,24258514
Germany,DEU,1814,0.03617842929411125,883024,24407472
Germany,DEU,1815,0.041907365048942345,1029584,24568092
Germany,DEU,1816,0.09641727981539086,2385264.0000000005,24738968
Germany,DEU,1817,0.1357162073918451,3381872,24918704
Germany,DEU,1818,0.140678562046083,3532096,25107564
Germany,DEU,1819,0.12944853675180765,3275616.0000000005,25304388
Germany,DEU,1820,0.13258204324267023,3381872,25507768
Germany,DEU,1821,0.13734110645240688,3532096,25717690
Germany,DEU,1822,0.14000587164781464,3631024,25934798
Germany,DEU,1823,0.15420887210652706,4034064.0000000005,26159740
Germany,DEU,1824,0.12244485043240397,3231648.0000000005,26392682
Germany,DEU,1825,0.1628692661118774,4338176,26635940
Germany,DEU,1826,0.15574871063283494,4187952,26889160
Germany,DEU,1827,0.16719396446824045,4539696,27152272
Germany,DEU,1828,0.1655179534835695,4539696,27427212
Germany,DEU,1829,0.13101138387950756,3631024,27715332
Germany,DEU,1830,0.17105989983356995,4792512.000000001,28016572
Germany,DEU,1831,0.16205734898706745,4590992,28329428
Germany,DEU,1832,0.12038391580405165,3447824.0000000005,28640238
Germany,DEU,1833,0.15125252935041364,4378480.000000001,28948144
Germany,DEU,1834,0.15079789168668895,4411456,29254096
Germany,DEU,1835,0.16683520197105794,4931744,29560572
Germany,DEU,1836,0.17384080138320263,5191888,29865762
Germany,DEU,1837,0.19726490252183135,5950336,30164190
Germany,DEU,1838,0.21778147177458418,6631840,30451810
Germany,DEU,1839,0.2284237843133963,7020224.000000001,30733332
Germany,DEU,1840,0.29580259880145005,9174656.000000002,31016144
Germany,DEU,1841,0.3050374649403118,9548384,31302332
Germany,DEU,1842,0.344496298955502,10882080,31588380
Germany,DEU,1843,0.32318542881899787,10299504,31868714
Germany,DEU,1844,0.33856713666649535,10882080,32141572
Germany,DEU,1845,0.3891931259506873,12611488.000000002,32404190
Germany,DEU,1846,0.40378566051158066,13186736,32657762
Germany,DEU,1847,0.4205204599051301,13838928.000000002,32909048
Germany,DEU,1848,0.38684427228398083,12827664,33159762
Germany,DEU,1849,0.40773718057312314,13622752,33410620
Germany,DEU,1850,0.4497395727505429,15139648.000000002,33663144
Germany,DEU,1851,0.49720301024195307,16869056,33927904
Germany,DEU,1852,0.5607491023317266,19173712.000000004,34193032
Germany,DEU,1853,0.6024031331124778,20760224.000000004,34462344
Germany,DEU,1854,0.701420412607558,24365600,34737512
Germany,DEU,1855,0.8172448071992885,28615840,35015016
Germany,DEU,1856,0.876351232864849,30924160.000000004,35287404
Germany,DEU,1857,0.926390202909833,32939360,35556680
Germany,DEU,1858,0.9939454052626185,35610416,35827336
Germany,DEU,1859,0.9362782838186726,33807728.00000001,36108632
Germany,DEU,1860,0.9999185657818691,36394512,36397476
Germany,DEU,1861,1.126671118475545,41329920.00000001,36683216
Germany,DEU,1862,1.2319520349834365,45539856,36965608
Germany,DEU,1863,1.3256381094402574,49383392.00000001,37252544
Germany,DEU,1864,1.5082725516423359,56641776,37554072
Germany,DEU,1865,1.6758511516058945,63467808.00000001,37871984
Germany,DEU,1866,1.6460995683370105,62907216,38215924
Germany,DEU,1867,1.7924952063155744,69154336,38579928
Germany,DEU,1868,1.909027966380584,74368208.00000001,38956060
Germany,DEU,1869,1.9722381761831747,77592528,39342372
Germany,DEU,1870,1.9288530052801924,76639888,39733400
Germany,DEU,1871,2.1273256606335305,85349216,40120428
Germany,DEU,1872,2.274142786544675,92109296,40502864
Germany,DEU,1873,2.407592891919066,98367407.99999999,40857160
Germany,DEU,1874,1.7363635146590288,71594560,41232472
Germany,DEU,1875,2.43981383301382,101518448.00000001,41609096
Germany,DEU,1876,2.4634265464935203,103438384,41989636
Germany,DEU,1877,2.390958047911742,101302272,42368904
Germany,DEU,1878,2.44405294055269,104544912,42775224
Germany,DEU,1879,2.566350991140767,110846992.00000001,43192452
Germany,DEU,1880,2.853700809232275,124502720.00000001,43628512
Germany,DEU,1881,3.0451498324872497,134263616.00000003,44090972
Germany,DEU,1882,3.224558109068265,143665440,44553528
Germany,DEU,1883,3.4004334098566225,153092912,45021588
Germany,DEU,1884,3.464851127386124,157526352,45464104
Germany,DEU,1885,3.510488755060036,161183024,45914696
Germany,DEU,1886,3.516269275782872,163033344,46365432
Germany,DEU,1887,3.642986242611217,170390656,46772248
Germany,DEU,1888,3.943846120830395,186347376,47250164
Germany,DEU,1889,4.163944658798051,198848944.00000003,47754944
Germany,DEU,1890,4.312434360562741,208232448,48286520
Germany,DEU,1891,4.5199396141395916,220840272,48859120
Germany,DEU,1892,4.346018921322876,214988864.00000003,49468000
Germany,DEU,1893,4.404700411285189,220712032,50108296
Germany,DEU,1894,4.519738028927483,229498304.00000003,50776904
Germany,DEU,1895,4.629658810723567,238284576.00000003,51469144
Germany,DEU,1896,4.910162063221755,256260159.99999994,52189756
Germany,DEU,1897,5.166776151641537,273554239.99999994,52944860
Germany,DEU,1898,5.311008057276069,285377968,53733296
Germany,DEU,1899,5.559242002571062,303283936.00000006,54554908
Germany,DEU,1900,5.89807971503157,326759183.99999994,55400944
Germany,DEU,1901,5.786253418175366,325557392,56263936
Germany,DEU,1902,5.586771260858686,319189360,57133064
Germany,DEU,1903,5.922925468196997,343598928,58011692
Germany,DEU,1904,6.047073384253009,356122480,58891708
Germany,DEU,1905,6.395668385633481,382323744,59778544
Germany,DEU,1906,5.965843088134011,361937248,60668248
Germany,DEU,1907,7.184101990078204,442182512.00000006,61550144
Germany,DEU,1908,7.153506551015096,446641600.00000006,62436736
Germany,DEU,1909,7.033417293505584,445571712,63350672
Germany,DEU,1910,6.935752908423054,445366528,64213148
Germany,DEU,1911,7.044235933992946,458586240.00000006,65100920
Germany,DEU,1912,7.578069679466196,499121072,65863880
Germany,DEU,1913,8.028111001752409,535083232.0000002,66651200
Germany,DEU,1914,7.4009762167125475,497926608,67278504
Germany,DEU,1915,6.8427843619144015,462906096.00000006,67648792
Germany,DEU,1916,7.411301964578265,500696592,67558520
Germany,DEU,1917,7.8012401832114255,524578544,67242968
Germany,DEU,1918,7.703605976505577,503422608,65348956
Germany,DEU,1919,6.083229844170538,387427696.00000006,63687828
Germany,DEU,1920,6.87417378575158,429208288,62437800
Germany,DEU,1921,7.522805974162296,473179952,62899396
Germany,DEU,1922,7.186025996496388,455460847.99999994,63381464
Germany,DEU,1923,5.20551184500671,331929088.00000006,63764928
Germany,DEU,1924,7.037622970998387,451793184,64196844
Germany,DEU,1925,7.085517054735194,458065952,64648204
Germany,DEU,1926,6.347667888959775,413236912.00000006,65100588
Germany,DEU,1927,7.342014636443341,481042896,65519196
Germany,DEU,1928,7.661714636180394,504888208,65897548
Germany,DEU,1929,8.134238461129812,538970736,66259520
Germany,DEU,1930,6.9318006116714805,461733616.00000006,66610920
Germany,DEU,1931,5.759953298446589,385595696.00000006,66944240
Germany,DEU,1932,5.163353489741735,347317888.00000006,67265952
Germany,DEU,1933,5.397058303185464,364853792,67602344
Germany,DEU,1934,6.009818404461037,408645920,67996384
Germany,DEU,1935,6.608992878152523,452368432,68447408
Germany,DEU,1936,7.248849890118665,499681664.00000006,68932544
Germany,DEU,1937,8.107883847991907,563563504.0000001,69508088
Germany,DEU,1938,8.569829491461462,601335680,70168920
Germany,DEU,1939,9.155369619662315,648681888,70852616
Germany,DEU,1940,9.16125471342985,654368416,71427816
Germany,DEU,1941,9.183940571629838,660839040.0000001,71955936
Germany,DEU,1942,9.25718944421678,667928880.0000001,72152448
Germany,DEU,1943,9.434005554214012,679466816,72023152
Germany,DEU,1944,8.488609679105723,600273120.0000001,70715128
Germany,DEU,1945,1.6879846476470244,116064528,68759232
Germany,DEU,1946,4.026708756180869,271692927.99999994,67472704
Germany,DEU,1947,4.701150560197227,317672463.99999994,67573344
Germany,DEU,1948,5.499603223259372,377842672,68703624
Germany,DEU,1949,6.220116357925546,432187120.00000006,69482160
Germany,DEU,1950,7.299721121687678,510732288.00000006,69966000
Germany,DEU,1951,8.206578207681366,576922448,70300000
Germany,DEU,1952,8.652529255168508,611041616,70620000
Germany,DEU,1953,8.791275454673624,623565168.0000001,70930000
Germany,DEU,1954,9.262693639184088,659809456.0000001,71233000
Germany,DEU,1955,10.11483623858982,723585040,71537000
Germany,DEU,1956,10.66487080207652,766281632,71851000
Germany,DEU,1957,10.778148649959133,777999104.0000001,72183000
Germany,DEU,1958,10.427208248332139,756473104,72548000
Germany,DEU,1959,10.3597365617651,755794580.8635728,72955000
Germany,DEU,1960,11.08712520778295,813950210.0041776,73414000
Germany,DEU,1961,11.292603927436474,834839623.1475236,73928000
Germany,DEU,1962,11.85636272952719,883168603.3597509,74489000
Germany,DEU,1963,12.593039324269947,945497985.5055119,75081000
Germany,DEU,1964,12.803328429724697,968917485.576276,75677000
Germany,DEU,1965,12.59018382329527,960102237.9968507,76258000
Germany,DEU,1966,12.385081913204495,951421992.5723693,76820000
Germany,DEU,1967,12.102711037442825,936229417.7234646,77357000
Germany,DEU,1968,12.65033736959032,984790813.2104976,77847000
Germany,DEU,1969,13.442210446864303,1052000831.7820473,78261000
Germany,DEU,1970,13.057373631641006,1026022305.227087,78578000
Germany,DEU,1971,13.164565134179469,1037236086.9220004,78790000
Germany,DEU,1972,13.199659177973478,1041479508.4604634,78902000
Germany,DEU,1973,13.755336879434154,1085736250.5674965,78932000
Germany,DEU,1974,13.467549607455032,1062724339.5242766,78910000
Germany,DEU,1975,12.712334978293889,1002443887.048343,78856000
Germany,DEU,1976,13.846266150220659,1090836539.846684,78782000
Germany,DEU,1977,13.377103024007317,1052604105.6500638,78687000
Germany,DEU,1978,13.733897117577477,1079127232.1165328,78574000
Germany,DEU,1979,14.25179284637366,1117882127.283857,78438000
Germany,DEU,1980,14.052341498731622,1100059449.5452075,78283000
Germany,DEU,1981,13.42393363481396,1048516608.3480488,78108000
Germany,DEU,1982,13.034505198563048,1015726852.103224,77926000
Germany,DEU,1983,13.007550413772256,1011597195.6790683,77770000
Germany,DEU,1984,13.30084996589606,1033236627.0507377,77682000
Germany,DEU,1985,13.439093936033697,1044110086.0783299,77692000
Germany,DEU,1986,13.462499569325189,1047463241.4909157,77806000
Germany,DEU,1987,13.233616765806861,1032433845.6011881,78016000
Germany,DEU,1988,13.140603049431284,1029014343.594865,78308000
Germany,DEU,1989,12.824580076256517,1008781468.7983376,78660000
Germany,DEU,1990,13.313938994257297,1052520133.2520164,79054000
Germany,DEU,1991,12.761696762900446,1014440037.3797194,79491000
Germany,DEU,1992,12.0827978656912,966176765.7342654,79963000
Germany,DEU,1993,11.89269378866806,956517468.7287834,80429000
Germany,DEU,1994,11.627780149803504,939908352.8490666,80833000
Germany,DEU,1995,11.579423379433013,939542833.5838152,81139000
Germany,DEU,1996,11.79979277005055,959606347.2315909,81324000
Germany,DEU,1997,11.446704961765748,931750337.1827701,81399000
Germany,DEU,1998,11.3487672152136,923823697.6200327,81403000
Germany,DEU,1999,11.01256410245681,896312592.2989599,81390000
Germany,DEU,2000,11.060997527111205,900376259.7043792,81401000
Germany,DEU,2001,11.25681393036827,916912521.8842171,81454000
Germany,DEU,2002,11.042954512743306,900387296.1965255,81535000
Germany,DEU,2003,11.044787948992381,901409323.6690642,81614000
Germany,DEU,2004,10.869582691634179,887457948.4411641,81646000
Germany,DEU,2005,10.620203881017966,866640497.3027091,81603000
Germany,DEU,2006,10.77764707784412,878076462.7261162,81472000
Germany,DEU,2007,10.475386923614828,851418498.377566,81278000
Germany,DEU,2008,10.531806392020348,853771416.9755216,81066000
Germany,DEU,2009,9.751835771858458,788923513.9433492,80900000
Germany,DEU,2010,10.29838642946372,832387679.9342642,80827000
Germany,DEU,2011,10.014699543433203,809748546.283835,80856000
Germany,DEU,2012,10.054437631742266,814137978.3550665,80973000
Germany,DEU,2013,10.24429440681428,831570354.1787424,81174000
Germany,DEU,2014,9.733495216273147,792793185.3654478,81450000
Germany,DEU,2015,9.731858963360104,795939549.0363328,81787000
Germany,DEU,2016,9.753203752395347,801654829.2243831,82194000
Germany,DEU,2017,9.653831451755481,797966400.1392046,82658000
Germany,DEU,2018,9.130960322189395,759001945.8216712,83124000
India,IND,1858,0.0021449339699421166,436016,203277120
India,IND,1859,0.0034464438089663037,703488,204119968
India,IND,1860,0.003467965153921105,710816,204966304
India,IND,1861,0.0026703216256638196,549600,205817904
India,IND,1862,0.002942903081687276,608224,206674832
India,IND,1863,0.003248460342664151,674176,207537088
India,IND,1864,0.0030591245726104476,637536,208404720
India,IND,1865,0.002993839383601965,626544,209277760
India,IND,1866,0.003364887256444044,707152,210156224
India,IND,1878,0.00883249378196982,1952911.9999999998,221105392
India,IND,1879,0.008348991505174583,1853984.0000000002,222060832
India,IND,1880,0.009298809206605977,2073824.0000000002,223020384
India,IND,1881,0.00903016971644204,2022527.9999999998,223974528
India,IND,1882,0.010685335560535558,2403584,224942304
India,IND,1883,0.011871974913806224,2682048,225914224
India,IND,1884,0.013161737218143232,2986160,226881904
India,IND,1885,0.011834803988516567,2696704,227862160
India,IND,1886,0.013224857536023779,3026464,228846624
India,IND,1887,0.014587255541552428,3352560,229828016
India,IND,1888,0.01612775770488194,3722623.9999999995,230820928
India,IND,1889,0.018887566472804335,4378480,231818112
India,IND,1890,0.020742035171749128,4829152.000000001,232819584
India,IND,1891,0.02223546819629612,5199216,233825344
India,IND,1892,0.02432416504084733,5712176.000000001,234835440
India,IND,1893,0.025493437622047983,6012624.000000001,235849872
India,IND,1894,0.025894249174107698,6133536,236868656
India,IND,1895,0.03229790696800072,7683408.000000002,237891824
India,IND,1896,0.0347967424793542,8313615.999999998,238919376
India,IND,1897,0.03750253384685963,8998784,239951360
India,IND,1898,0.04137033349743573,9969744.000000002,240987760
India,IND,1899,0.04540098003621126,10988336,242028608
India,IND,1900,0.05369217019189288,13051168,243073952
India,IND,1901,0.0589694997324308,14395856,244123760
India,IND,1902,0.06475510636664975,15876112.000000002,245171584
India,IND,1903,0.06565219789906053,16165568,246230416
India,IND,1904,0.07305959382918922,18067184.000000004,247293792
India,IND,1905,0.07438299028101464,18473888,248361728
India,IND,1906,0.08556483115935767,21342800,249434256
India,IND,1907,0.09507306286638419,23816000,250502080
India,IND,1908,0.1083104998553802,27249168,251583808
India,IND,1909,0.104161529534851,26318512,252670176
India,IND,1910,0.1012591050168426,25695631.999999996,253761200
India,IND,1911,0.10638866908566015,27113600.000000004,254854208
India,IND,1912,0.12196411813994032,31217280.000000004,255954624
India,IND,1913,0.1338929283811857,34437936,257205040
India,IND,1914,0.13424383187712138,34716400.00000001,258607040
India,IND,1915,0.13944095304978057,36277264,260162192
India,IND,1916,0.14014736717395007,36680304,261726672
India,IND,1917,0.145683019670967,38358416,263300528
India,IND,1918,0.16300180297249953,43158256,264771648
India,IND,1919,0.1769672840818079,47122703.99999999,266279184
India,IND,1920,0.14249899296214674,38160560,267795296
India,IND,1921,0.15239907265134173,41044128,269320064
India,IND,1922,0.14911483948044055,40388272,270853472
India,IND,1923,0.1526287527178114,41575408,272395648
India,IND,1924,0.16247791832358333,44510272.00000001,273946592
India,IND,1925,0.1594035895388088,43916704.00000001,275506368
India,IND,1926,0.15805152661044047,43792128.00000001,277075008
India,IND,1927,0.16483572262133647,45931904.00000001,278652608
India,IND,1928,0.157718253003092,44198832.00000001,280239168
India,IND,1929,0.16280683619065678,45994192,282507744
India,IND,1930,0.16378661543752446,46756304,285470848
India,IND,1931,0.14811045388816005,42824832,289141184
India,IND,1932,0.13595869025173637,39816687.99999999,292858720
India,IND,1933,0.13177471669999102,39087552.00000001,296624064
India,IND,1934,0.14527322847586366,43645568,300437792
India,IND,1935,0.14985888163419053,45602144,304300576
India,IND,1936,0.14541257023583792,44818048,308213024
India,IND,1937,0.1590243055886566,49643536.00000001,312175776
India,IND,1938,0.1757666112298641,55575552,316189472
India,IND,1939,0.1698743630196001,54403072,320254752
India,IND,1940,0.17787278519942765,57697008.00000001,324372320
India,IND,1941,0.1795192473990495,58957424,328418400
India,IND,1942,0.17719755437602758,58898800,332390592
India,IND,1943,0.1525366037891691,51296000,336286496
India,IND,1944,0.15419409062684172,52461152.00000001,340228032
India,IND,1945,0.16906635502341602,58195312.00000001,344215808
India,IND,1946,0.16492357942428285,57499152.00000001,348641184
India,IND,1947,0.1659645568996196,58602016.00000001,353099584
India,IND,1948,0.16378239933681865,58620336.00000001,357915968
India,IND,1949,0.16874200810084292,61881296,366721344
India,IND,1950,0.17698583250086136,66604191.99999999,376324992
India,IND,1951,0.18233904617357313,69722256,382376992
India,IND,1952,0.18902443290184529,73492512.00000001,388799008
India,IND,1953,0.189302590862205,74877504.00000001,395544000
India,IND,1954,0.19558734667059444,78739360.00000001,402579008
India,IND,1955,0.20845274035054545,85440816,409880992
India,IND,1956,0.21190027453999183,88456288,417443008
India,IND,1957,0.23334714601565315,99235776,425271008
India,IND,1958,0.23933716040781042,103724176,433380992
India,IND,1959,0.24857175731550563,109818755.79880713,441799008
India,IND,1960,0.2676208561551931,120576041.49900994,450548000
India,IND,1961,0.28368367934598915,130392929.20301028,459641984
India,IND,1962,0.3058172601354599,143451840.48602304,469076992
India,IND,1963,0.32176232395553833,154068161.38213742,478825984
India,IND,1964,0.3081509873840606,150638993.88072327,488848000
India,IND,1965,0.33250594124484895,165961365.57200027,499123008
India,IND,1966,0.3368869958844769,171688393.48659775,509632000
India,IND,1967,0.33069331106541716,172093127.12620768,520400992
India,IND,1968,0.3520219922285508,187104611.54501408,531513984
India,IND,1969,0.3505910023930663,190400375.1625481,543084032
India,IND,1970,0.3507428995521277,194728956.01423216,555190016
India,IND,1971,0.36157969781614485,205329551.41000888,567868032
India,IND,1972,0.37375116922704754,217181936.7026093,581086976
India,IND,1973,0.3759475108383735,223602295.00617924,594769984
India,IND,1974,0.3797364853590541,231184714.53394008,608803008
India,IND,1975,0.40313288791792,251193302.18513042,623102976
India,IND,1976,0.41173054576579754,262531754.48433423,637630016
India,IND,1977,0.42557399673036783,277648315.84663844,652409024
India,IND,1978,0.4217814924137752,281539159.68320274,667500032
India,IND,1979,0.4323589579780183,295299009.9630683,682995008
India,IND,1980,0.447075686910046,312484903.3226539,698953024
India,IND,1981,0.47122202931285223,337105182.7493035,715385024
India,IND,1982,0.475002895875667,347815634.07303303,732238976
India,IND,1983,0.502617764841377,376676324.8663662,749428992
India,IND,1984,0.5032762494148947,385928848.24620193,766833024
India,IND,1985,0.5408945446045205,424256045.00600165,784360000
India,IND,1986,0.5674323253699367,455066525.52017915,801974976
India,IND,1987,0.5929949936826584,486067312.9238689,819681984
India,IND,1988,0.6269863981783321,525081666.8801184,837468992
India,IND,1989,0.6738933602776335,576404561.139629,855334976
India,IND,1990,0.7060514883795034,616579242.9658997,873278016
India,IND,1991,0.7368571416509349,656740892.895225,891273024
India,IND,1992,0.7684499773640808,698756949.7146001,909307008
India,IND,1993,0.7794814713672715,722894259.4153001,927404032
India,IND,1994,0.8082069579125614,764242102.8847225,945601984
India,IND,1995,0.8418316815116045,811460926.6723638,963923008
India,IND,1996,0.8946034589304191,878827119.7753536,982364992
India,IND,1997,0.9142265383285285,915049312.957775,1000899968
India,IND,1998,0.9157075823082265,933549258.1445626,1019484032
India,IND,1999,0.9587451635156926,995233071.6088502,1038057984
India,IND,2000,0.9745042088687182,1029637758.9896748,1056576000
India,IND,2001,0.9633863103546845,1035640345.2880096,1075000064
India,IND,2002,0.9581810756925471,1047595651.4674999,1093316992
India,IND,2003,0.9823216114207803,1091873009.4812498,1111522944
India,IND,2004,1.0140953213812123,1145545439.788422,1129623040
India,IND,2005,1.0544921041670439,1210145666.7912676,1147609984
India,IND,2006,1.1043884391664922,1287149211.3997533,1165485952
India,IND,2007,1.1749856013023139,1390253491.3318856,1183208960
